Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,46,1,28.0,0,2,1,44363.0,26.0,199,1
0,53,1,28.0,0,3,1,44124.0,124.0,226,0
0,44,1,other,0,3,1,37831.0,124.0,160,1
1,25,1,10.0,0,1,0,18243.0,152.0,66,0
0,49,1,36.0,0,2,1,29635.0,124.0,57,0
0,38,1,28.0,0,2,1,48331.0,26.0,167,1
1,37,1,48.0,1,2,0,2630.0,156.0,195,0
1,76,1,45.0,0,3,1,33055.0,26.0,269,0
0,36,1,8.0,0,2,1,50346.0,124.0,133,0
0,24,1,14.0,1,1,0,34233.0,160.0,195,0
0,51,1,28.0,0,2,1,38681.0,26.0,115,1
0,40,1,28.0,0,2,1,28945.0,124.0,262,0
0,43,1,28.0,0,2,1,30283.0,154.0,34,1
1,24,1,28.0,0,1,1,56510.0,152.0,84,0
0,25,1,28.0,0,1,1,19643.0,152.0,242,0
0,33,1,28.0,0,1,1,2630.0,160.0,137,1
1,30,1,28.0,0,1,1,2630.0,26.0,147,1
1,25,1,15.0,0,1,0,35023.0,152.0,162,0
0,37,1,39.0,0,2,1,44569.0,26.0,125,1
0,40,1,other,0,3,1,22174.0,124.0,190,1
0,21,1,46.0,0,1,1,23468.0,160.0,17,1
1,22,1,29.0,1,1,0,2630.0,160.0,196,0
0,54,1,other,1,2,1,2630.0,124.0,93,0
0,45,1,11.0,0,2,1,30071.0,157.0,55,1
0,39,1,41.0,0,2,1,2630.0,157.0,269,1
0,24,1,47.0,1,1,0,35733.0,152.0,207,0
1,45,1,28.0,0,2,1,49817.0,other,72,0
1,23,1,41.0,1,1,0,30174.0,152.0,23,0
0,25,1,46.0,1,1,0,28292.0,152.0,26,0
0,40,1,11.0,0,2,1,2630.0,26.0,202,1
0,33,1,28.0,0,2,1,43306.0,26.0,124,1
1,29,1,33.0,1,1,0,27386.0,152.0,68,0
1,50,1,15.0,0,2,1,35789.0,26.0,236,0
1,39,1,28.0,0,2,1,2630.0,154.0,151,1
0,30,1,28.0,0,1,1,41780.0,122.0,273,1
0,36,1,18.0,0,2,1,2630.0,124.0,289,1
0,23,1,10.0,0,1,1,31482.0,152.0,171,1
0,50,1,other,0,2,1,36780.0,26.0,120,0
0,35,1,28.0,0,2,1,36631.0,124.0,284,1
0,24,1,28.0,1,1,0,27564.0,152.0,185,0
0,26,1,28.0,0,1,1,53681.0,124.0,146,0
1,70,1,11.0,1,2,0,23860.0,26.0,49,0
0,31,1,36.0,0,1,1,32997.0,124.0,56,1
0,26,1,28.0,1,1,0,43785.0,160.0,274,0
