id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
381368,Female,30,1,29,1,< 1 Year,No,2630,160,36
381369,Female,33,1,28,0,1-2 Year,Yes,45268,124,209
381370,Male,45,1,41,1,1-2 Year,No,33166,152,52
381371,Male,55,1,38,0,1-2 Year,Yes,32560,124,82
381372,Female,71,1,28,0,> 2 Years,Yes,34462,26,120
381373,Male,26,1,8,1,< 1 Year,No,43724,152,110
381374,Male,26,1,28,0,< 1 Year,Yes,30899,152,119
381375,Male,22,1,7,1,< 1 Year,No,40635,160,289
381376,Female,63,1,28,0,> 2 Years,Yes,51323,26,210
381377,Male,45,1,8,1,1-2 Year,Yes,2630,4,198
381378,Male,54,1,28,0,1-2 Year,Yes,38729,157,115
381379,Female,25,1,36,0,< 1 Year,Yes,42478,152,45
381380,Female,26,1,28,1,< 1 Year,No,50523,152,103
381381,Female,40,1,24,0,1-2 Year,Yes,2630,157,82
381382,Female,40,1,38,0,1-2 Year,Yes,31193,124,96
381383,Female,24,1,24,1,< 1 Year,No,21429,152,105
381384,Female,58,1,28,0,1-2 Year,Yes,93515,26,280
381385,Male,24,1,15,0,< 1 Year,Yes,31253,152,188
381386,Male,56,1,46,0,1-2 Year,Yes,45379,26,283
381387,Female,38,1,28,0,> 2 Years,Yes,41743,124,20
381388,Male,53,1,28,0,1-2 Year,Yes,49750,26,207
381389,Male,64,1,28,0,1-2 Year,Yes,52823,26,149
381390,Female,76,1,35,0,1-2 Year,Yes,41134,26,260
381391,Male,57,1,16,0,1-2 Year,Yes,26818,124,91
381392,Female,41,1,28,0,1-2 Year,Yes,38713,124,32
381393,Male,68,1,2,1,1-2 Year,No,37895,152,121
381394,Female,39,1,30,1,1-2 Year,No,2630,152,66
381395,Female,21,1,49,0,< 1 Year,Yes,19593,152,86
381396,Female,23,1,45,1,< 1 Year,No,2630,152,158
381397,Female,34,1,46,1,1-2 Year,No,35109,124,202
381398,Male,21,1,33,1,< 1 Year,No,41100,152,40
381399,Female,24,1,8,1,< 1 Year,No,66490,152,15
381400,Female,33,1,29,1,< 1 Year,No,32874,152,168
381401,Male,22,1,37,0,< 1 Year,No,32489,152,188
381402,Male,44,1,8,0,1-2 Year,Yes,30312,124,222
381403,Male,39,1,28,1,1-2 Year,No,27815,124,75
381404,Female,20,1,32,0,< 1 Year,Yes,21977,160,85
381405,Female,48,1,28,0,1-2 Year,Yes,56409,52,103
381406,Male,31,1,28,0,< 1 Year,Yes,46712,124,166
381407,Male,38,1,28,0,1-2 Year,Yes,67319,26,61
381408,Male,68,1,45,0,1-2 Year,Yes,2630,26,267
381409,Female,39,1,46,0,1-2 Year,No,29248,152,114
381410,Male,55,1,39,1,1-2 Year,No,35066,124,83
381411,Female,20,1,30,0,< 1 Year,Yes,2630,156,136
381412,Female,21,1,17,0,< 1 Year,Yes,33554,152,169
381413,Female,23,1,15,0,< 1 Year,Yes,26886,152,163
381414,Male,59,1,28,0,1-2 Year,Yes,31231,124,254
381415,Female,41,1,28,1,1-2 Year,No,32522,154,236
381416,Female,23,1,33,1,< 1 Year,No,29019,152,31
381417,Male,43,1,46,0,> 2 Years,Yes,30471,124,72
381418,Female,29,1,33,1,< 1 Year,No,35083,152,166
381419,Male,23,1,45,1,< 1 Year,No,35448,152,42
381420,Female,24,1,14,1,< 1 Year,No,27805,152,222
381421,Female,40,1,19,0,1-2 Year,Yes,2630,156,157
381422,Male,77,1,28,0,1-2 Year,Yes,61533,122,73
381423,Female,45,1,8,0,> 2 Years,Yes,45171,124,151
381424,Male,49,1,39,1,1-2 Year,No,55159,124,274
381425,Male,36,1,33,0,1-2 Year,Yes,31091,124,239
381426,Female,27,1,29,1,< 1 Year,Yes,2630,154,137
381427,Female,26,1,41,1,< 1 Year,No,23500,152,127
381428,Female,41,1,28,0,1-2 Year,Yes,38204,152,127
381429,Male,51,1,28,0,1-2 Year,Yes,47843,26,126
381430,Male,38,1,15,0,1-2 Year,Yes,25059,152,274
381431,Male,47,1,30,0,< 1 Year,No,2630,1,214
381432,Male,24,1,41,0,< 1 Year,Yes,35554,152,64
381433,Male,44,1,8,0,1-2 Year,Yes,30567,26,108
381434,Female,24,1,29,1,< 1 Year,No,2630,152,91
381435,Male,26,1,28,0,< 1 Year,Yes,42220,152,280
381436,Male,50,1,26,0,1-2 Year,Yes,47422,26,39
381437,Female,73,1,28,0,1-2 Year,Yes,43458,26,95
381438,Female,30,1,3,0,1-2 Year,Yes,2630,157,171
381439,Male,21,1,33,0,1-2 Year,Yes,22941,156,282
381440,Male,42,1,28,1,1-2 Year,No,34944,26,239
381441,Female,64,1,28,0,1-2 Year,Yes,33037,26,214
381442,Female,49,1,28,0,1-2 Year,Yes,35770,163,78
381443,Female,49,1,15,0,1-2 Year,Yes,27535,152,207
381444,Male,28,1,46,1,< 1 Year,No,28086,152,250
381445,Male,77,1,28,1,1-2 Year,No,30667,122,296
381446,Male,45,1,28,0,1-2 Year,Yes,60953,26,223
381447,Female,21,1,28,0,< 1 Year,Yes,36019,152,74
381448,Female,22,1,30,1,< 1 Year,No,25883,152,204
381449,Female,20,1,6,0,< 1 Year,Yes,2630,160,77
381450,Male,48,1,28,0,1-2 Year,Yes,39713,26,157
381451,Male,24,1,28,1,< 1 Year,No,51482,152,103
381452,Female,47,1,28,0,1-2 Year,Yes,42651,26,28
381453,Male,56,1,28,1,1-2 Year,No,32564,124,140
381454,Female,42,1,18,0,1-2 Year,No,34353,124,284
381455,Female,22,1,28,0,< 1 Year,Yes,74943,152,257
381456,Male,78,1,28,0,1-2 Year,Yes,49093,13,12
381457,Female,56,1,35,0,1-2 Year,Yes,2630,152,178
381458,Female,29,1,50,1,< 1 Year,No,57615,152,101
381459,Female,22,1,11,1,< 1 Year,No,28067,152,42
381460,Female,22,1,25,1,< 1 Year,No,49714,152,225
381461,Female,26,1,33,1,< 1 Year,No,2630,152,146
381462,Female,24,1,15,1,< 1 Year,No,36216,151,98
381463,Male,43,1,31,0,> 2 Years,Yes,2630,9,25
381464,Male,21,1,46,0,< 1 Year,Yes,33621,152,285
