id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
393813,Female,48,1,34.0,0,1-2 Year,Yes,2630.0,154.0,276
393814,Male,41,1,8.0,0,1-2 Year,Yes,38232.0,152.0,61
393815,Male,22,1,46.0,1,< 1 Year,No,19649.0,152.0,106
393816,Male,71,1,29.0,0,1-2 Year,Yes,130980.0,124.0,117
393817,Male,22,1,41.0,1,< 1 Year,No,58727.0,152.0,189
393818,Female,23,1,11.0,1,< 1 Year,No,24255.0,152.0,163
393819,Female,46,1,48.0,0,1-2 Year,Yes,2630.0,157.0,82
393820,Male,40,1,49.0,0,1-2 Year,Yes,56957.0,26.0,127
393821,Male,21,1,47.0,0,< 1 Year,Yes,31001.0,160.0,197
393822,Female,23,1,15.0,1,< 1 Year,No,35073.0,152.0,168
393823,Female,26,1,35.0,1,< 1 Year,No,29520.0,152.0,92
393824,Female,22,1,41.0,1,< 1 Year,No,23260.0,152.0,135
393825,Female,55,1,28.0,1,1-2 Year,No,51167.0,3.0,201
393826,Female,38,1,28.0,0,1-2 Year,Yes,28759.0,4.0,208
393827,Male,34,1,7.0,1,1-2 Year,No,34810.0,124.0,139
393828,Male,33,1,48.0,1,1-2 Year,No,2630.0,26.0,15
393829,Female,48,1,28.0,0,1-2 Year,Yes,2630.0,124.0,287
393830,Female,23,1,50.0,0,< 1 Year,No,37956.0,152.0,249
393831,Female,28,1,10.0,1,< 1 Year,No,33718.0,152.0,37
393832,Male,37,1,33.0,0,1-2 Year,Yes,2630.0,157.0,147
393833,Female,23,1,36.0,1,< 1 Year,No,35610.0,152.0,270
393834,Male,49,1,46.0,0,1-2 Year,Yes,26836.0,124.0,124
393835,Male,28,1,46.0,1,< 1 Year,No,29018.0,152.0,248
393836,Male,27,1,2.0,1,< 1 Year,No,20764.0,152.0,158
393837,Male,34,1,47.0,1,1-2 Year,No,22612.0,152.0,299
393838,Male,28,1,9.0,0,1-2 Year,Yes,2630.0,157.0,191
393839,Female,44,1,8.0,0,1-2 Year,Yes,37134.0,124.0,267
393840,Female,47,1,18.0,1,1-2 Year,No,49416.0,124.0,54
393841,Female,24,1,11.0,0,< 1 Year,Yes,31828.0,152.0,269
393842,Female,24,1,13.0,0,< 1 Year,Yes,28127.0,152.0,117
393843,Male,45,1,30.0,0,1-2 Year,Yes,33364.0,124.0,53
393844,Male,21,1,16.0,1,< 1 Year,No,35338.0,152.0,66
393845,Female,29,1,15.0,1,< 1 Year,No,27198.0,152.0,89
393846,Female,29,1,18.0,1,< 1 Year,No,2630.0,152.0,87
393847,Male,47,1,28.0,0,> 2 Years,Yes,42193.0,124.0,163
393848,Male,49,1,17.0,0,1-2 Year,Yes,33544.0,124.0,82
393849,Female,48,1,28.0,1,1-2 Year,No,32709.0,124.0,238
393850,Male,23,1,2.0,0,< 1 Year,Yes,29949.0,152.0,147
393851,Female,26,1,6.0,0,< 1 Year,No,26132.0,152.0,78
