id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
482734,Male,48,1,33.0,1,1-2 Year,No,2630.0,132.0,193
482735,Male,59,1,28.0,0,1-2 Year,Yes,45278.0,26.0,249
482736,Male,56,1,8.0,1,1-2 Year,No,40987.0,26.0,76
482737,Male,57,1,8.0,0,1-2 Year,Yes,62382.0,124.0,255
482738,Male,36,1,28.0,0,1-2 Year,Yes,33574.0,124.0,27
482739,Male,24,1,15.0,0,< 1 Year,No,34074.0,152.0,128
482740,Male,22,1,8.0,0,< 1 Year,No,49687.0,152.0,191
482741,Male,31,1,3.0,0,1-2 Year,Yes,25740.0,124.0,55
482742,Male,70,1,28.0,1,1-2 Year,No,26708.0,26.0,47
482743,Female,28,1,1.0,1,< 1 Year,No,2630.0,152.0,63
482744,Male,29,1,45.0,1,< 1 Year,No,21777.0,152.0,27
482745,Male,23,1,10.0,0,< 1 Year,Yes,24475.0,151.0,111
482746,Male,54,1,7.0,1,1-2 Year,No,34681.0,26.0,107
482747,Male,24,1,30.0,1,1-2 Year,No,30345.0,124.0,288
482748,Male,29,1,8.0,1,< 1 Year,No,58693.0,152.0,81
482749,Male,44,1,33.0,0,1-2 Year,Yes,2630.0,124.0,26
482750,Female,22,1,2.0,0,< 1 Year,Yes,25276.0,152.0,223
482751,Female,65,1,46.0,1,1-2 Year,No,28624.0,11.0,184
482752,Female,47,1,28.0,0,1-2 Year,Yes,67301.0,26.0,228
482753,Female,65,1,8.0,1,1-2 Year,No,48091.0,124.0,208
482754,Female,49,1,50.0,1,1-2 Year,No,23621.0,8.0,16
482755,Male,39,1,28.0,1,1-2 Year,No,2630.0,160.0,282
482756,Female,22,1,35.0,1,< 1 Year,No,28177.0,152.0,278
482757,Male,29,1,37.0,1,< 1 Year,No,34392.0,152.0,117
482758,Male,50,1,45.0,0,1-2 Year,Yes,35406.0,26.0,23
482759,Female,26,1,47.0,1,< 1 Year,No,29994.0,152.0,232
482760,Male,50,1,35.0,1,1-2 Year,No,32101.0,26.0,171
482761,Female,23,1,29.0,1,< 1 Year,No,67928.0,26.0,118
482762,Male,65,1,28.0,0,1-2 Year,Yes,25718.0,23.0,99
482763,Female,74,1,28.0,1,1-2 Year,No,42465.0,29.0,58
482764,Female,23,1,47.0,0,< 1 Year,No,34868.0,152.0,225
482765,Female,61,1,28.0,0,1-2 Year,Yes,54603.0,26.0,195
482766,Female,27,1,10.0,1,< 1 Year,No,25834.0,152.0,258
482767,Male,40,1,43.0,1,1-2 Year,No,27933.0,26.0,240
482768,Female,55,1,18.0,1,1-2 Year,No,33973.0,124.0,179
482769,Male,29,1,41.0,1,< 1 Year,No,39646.0,152.0,26
482770,Male,28,1,41.0,1,1-2 Year,Yes,26414.0,156.0,64
482771,Male,51,1,28.0,0,1-2 Year,Yes,38214.0,125.0,161
482772,Female,54,1,26.0,1,1-2 Year,No,37353.0,120.0,271
482773,Female,22,1,33.0,1,< 1 Year,No,40066.0,152.0,179
482774,Female,24,1,25.0,1,< 1 Year,No,31244.0,152.0,223
482775,Male,41,1,14.0,0,1-2 Year,Yes,23157.0,124.0,253
482776,Female,27,1,11.0,1,< 1 Year,No,29631.0,160.0,110
482777,Male,57,1,29.0,0,1-2 Year,Yes,2630.0,26.0,190
482778,Female,62,1,28.0,1,1-2 Year,No,48835.0,122.0,290
482779,Female,37,1,34.0,0,1-2 Year,Yes,2630.0,157.0,229
482780,Male,58,1,28.0,1,1-2 Year,No,51730.0,25.0,276
482781,Male,60,1,8.0,0,1-2 Year,Yes,47578.0,124.0,264
482782,Male,22,1,28.0,0,< 1 Year,No,2630.0,152.0,243
482783,Female,52,1,28.0,0,1-2 Year,Yes,2630.0,156.0,146
482784,Male,54,1,27.0,0,1-2 Year,Yes,2630.0,157.0,153
482785,Male,44,1,28.0,0,1-2 Year,Yes,28409.0,26.0,199
482786,Male,63,1,3.0,0,> 2 Years,Yes,36712.0,124.0,199
482787,Male,25,1,43.0,1,< 1 Year,No,34629.0,152.0,92
482788,Female,77,1,11.0,0,1-2 Year,Yes,27866.0,26.0,124
482789,Male,52,1,24.0,1,1-2 Year,No,42210.0,124.0,212
482790,Male,26,1,28.0,1,< 1 Year,No,67621.0,152.0,58
482791,Male,24,1,28.0,0,< 1 Year,Yes,45508.0,152.0,195
482792,Female,48,1,28.0,0,1-2 Year,No,42153.0,124.0,212
482793,Female,25,1,45.0,1,1-2 Year,Yes,2630.0,156.0,167
482794,Male,53,1,28.0,0,> 2 Years,Yes,45413.0,26.0,194
482795,Male,56,1,27.0,0,1-2 Year,Yes,2630.0,124.0,291
482796,Male,37,1,28.0,0,1-2 Year,Yes,37492.0,124.0,25
482797,Male,25,1,14.0,1,< 1 Year,No,33175.0,152.0,103
482798,Female,24,1,28.0,0,< 1 Year,Yes,39730.0,152.0,174
482799,Male,51,1,25.0,0,1-2 Year,Yes,24859.0,26.0,93
482800,Female,23,1,29.0,1,< 1 Year,No,41660.0,152.0,29
482801,Female,81,1,50.0,1,1-2 Year,No,37941.0,26.0,280
482802,Male,61,1,33.0,1,1-2 Year,No,2630.0,124.0,45
482803,Female,20,1,31.0,1,< 1 Year,Yes,2630.0,160.0,11
482804,Female,51,1,8.0,0,> 2 Years,Yes,45274.0,26.0,48
482805,Male,43,1,28.0,1,1-2 Year,No,21494.0,26.0,118
482806,Female,24,1,46.0,0,< 1 Year,No,2630.0,151.0,142
482807,Male,30,1,28.0,0,< 1 Year,Yes,39183.0,124.0,26
482808,Male,38,1,28.0,0,1-2 Year,Yes,32039.0,25.0,283
482809,Female,58,1,28.0,0,1-2 Year,Yes,45720.0,26.0,123
482810,Male,53,1,28.0,1,1-2 Year,No,53411.0,124.0,136
482811,Female,41,1,28.0,0,1-2 Year,Yes,43707.0,122.0,31
482812,Male,43,1,28.0,0,1-2 Year,Yes,47804.0,55.0,182
482813,Female,45,1,51.0,0,1-2 Year,Yes,106570.0,26.0,244
482814,Female,37,1,6.0,1,1-2 Year,No,26508.0,124.0,103
482815,Female,41,1,28.0,0,1-2 Year,Yes,49994.0,52.0,76
482816,Female,23,1,33.0,1,< 1 Year,No,39252.0,152.0,31
482817,Female,34,1,15.0,0,1-2 Year,Yes,2630.0,157.0,120
