Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,25,1,35.0,0,1,1,17487.0,152.0,277,0
1,60,0,14.0,0,2,1,32376.0,157.0,139,0
0,23,1,36.0,0,1,1,36692.0,152.0,77,0
1,51,1,28.0,0,2,0,2630.0,other,199,0
0,34,1,39.0,1,2,0,2630.0,156.0,276,0
0,61,1,30.0,1,2,0,30089.0,152.0,150,0
0,60,1,28.0,0,2,1,48124.0,26.0,191,0
0,46,1,28.0,0,2,1,55289.0,other,230,0
1,25,1,8.0,1,1,0,44520.0,152.0,217,0
0,40,1,35.0,1,2,0,21119.0,124.0,52,0
1,23,1,41.0,1,1,0,35668.0,152.0,129,0
1,51,1,28.0,1,2,0,45459.0,other,218,0
1,21,1,46.0,1,1,0,38346.0,160.0,76,0
0,39,1,48.0,0,3,1,2630.0,156.0,258,0
1,23,1,28.0,0,1,1,22966.0,152.0,77,0
1,25,1,3.0,1,1,0,23753.0,152.0,29,0
1,29,1,21.0,0,1,1,24181.0,152.0,263,0
0,24,1,33.0,1,1,0,2630.0,152.0,30,0
1,80,1,28.0,0,3,1,33554.0,other,164,0
0,64,1,46.0,0,2,1,27076.0,26.0,173,0
0,73,1,28.0,0,2,1,34485.0,124.0,40,0
1,24,1,6.0,1,1,0,36693.0,152.0,220,0
0,31,1,21.0,1,1,0,31239.0,152.0,143,0
0,24,1,18.0,1,1,0,42110.0,152.0,19,0
1,37,1,48.0,0,2,1,2630.0,26.0,134,0
1,55,1,28.0,0,2,1,43746.0,26.0,175,0
0,21,1,13.0,0,1,1,28142.0,160.0,129,0
0,24,1,other,1,1,0,2630.0,152.0,21,0
1,25,1,other,1,1,0,42427.0,152.0,66,0
0,47,1,28.0,0,2,1,35316.0,124.0,210,0
0,24,1,28.0,1,1,0,54796.0,152.0,277,0
1,58,1,28.0,0,3,1,44120.0,124.0,121,0
0,24,1,39.0,1,1,0,2630.0,152.0,17,0
1,28,1,21.0,1,1,0,28942.0,152.0,154,0
0,51,1,45.0,1,2,1,30797.0,124.0,41,0
0,64,1,other,0,2,1,40116.0,124.0,293,0
1,63,1,11.0,0,2,1,36794.0,26.0,28,0
0,42,1,14.0,0,2,1,22179.0,26.0,20,0
1,50,1,28.0,0,2,1,2630.0,26.0,242,0
0,42,1,28.0,1,3,0,2630.0,157.0,241,0
1,57,1,28.0,0,2,1,71348.0,26.0,123,0
0,46,1,28.0,0,2,1,25295.0,26.0,65,0
1,57,1,28.0,0,2,1,39231.0,124.0,122,0
1,23,1,other,1,1,0,27575.0,151.0,102,0
0,49,1,other,1,2,0,25724.0,124.0,137,0
1,76,1,28.0,0,2,1,33357.0,26.0,116,0
1,24,1,10.0,1,1,0,19850.0,152.0,181,0
0,25,1,46.0,1,1,0,25703.0,152.0,25,0
1,24,1,8.0,1,1,0,41014.0,152.0,206,0
1,49,1,48.0,1,2,0,2630.0,124.0,127,0
0,23,1,10.0,1,1,0,34265.0,151.0,49,0
0,29,1,46.0,0,1,1,2630.0,156.0,293,0
0,22,1,28.0,0,1,1,39365.0,157.0,293,0
1,48,1,28.0,0,2,1,40769.0,124.0,37,0
1,25,1,other,0,1,0,47759.0,152.0,293,0
0,22,1,other,1,1,0,37063.0,152.0,233,0
1,23,1,50.0,0,1,1,30441.0,152.0,145,0
0,23,1,50.0,1,1,0,34492.0,152.0,46,0
0,44,1,28.0,1,2,0,30266.0,124.0,226,0
1,43,1,28.0,0,2,1,36138.0,other,199,0
1,50,1,other,1,2,0,2630.0,26.0,276,0
1,55,1,28.0,0,3,1,45897.0,26.0,157,0
0,24,1,3.0,1,1,0,22315.0,152.0,260,0
1,23,1,35.0,1,1,0,35714.0,152.0,111,0
0,64,1,29.0,1,2,0,35337.0,26.0,221,0
0,25,1,33.0,1,1,0,33413.0,152.0,165,0
0,22,1,41.0,0,1,1,33091.0,152.0,136,0
1,26,1,28.0,1,1,0,28233.0,152.0,215,0
1,28,1,11.0,1,1,0,27578.0,152.0,10,0
0,48,1,28.0,0,2,1,23275.0,26.0,290,0
1,41,1,28.0,0,2,0,30460.0,124.0,298,0
0,42,1,28.0,0,2,0,2630.0,26.0,131,0
1,22,1,47.0,1,1,0,36168.0,152.0,200,0
0,54,1,28.0,0,2,1,35058.0,26.0,290,0
1,35,1,28.0,0,3,1,49324.0,26.0,249,0
1,25,1,28.0,1,1,0,37528.0,26.0,90,0
0,54,1,28.0,0,2,1,46061.0,124.0,202,0
1,26,1,8.0,1,1,0,34649.0,152.0,117,0
0,65,1,46.0,0,2,1,24007.0,other,152,0
0,20,1,35.0,1,1,0,2630.0,160.0,130,0
0,39,1,28.0,0,2,1,39947.0,other,54,0
0,28,1,37.0,1,1,0,2630.0,152.0,289,0
0,50,1,28.0,0,2,1,2630.0,other,145,0
1,49,1,28.0,1,2,0,42095.0,26.0,257,0
0,23,1,8.0,1,1,0,41600.0,152.0,241,0
1,23,1,15.0,0,1,1,50904.0,151.0,72,0
1,49,1,8.0,0,2,1,33972.0,26.0,17,0
1,25,1,other,0,1,1,27291.0,151.0,77,0
1,43,1,14.0,1,2,0,19924.0,124.0,116,0
0,59,1,28.0,0,2,1,50472.0,124.0,24,0
0,66,1,28.0,0,2,1,40342.0,122.0,10,0
1,46,1,11.0,1,2,0,34826.0,26.0,296,0
1,24,1,28.0,0,1,1,46914.0,154.0,52,0
0,76,1,46.0,1,2,0,21093.0,124.0,169,0
1,56,1,15.0,1,2,0,40777.0,124.0,15,0
0,38,1,41.0,0,2,1,2630.0,26.0,152,0
0,21,1,15.0,0,1,1,29480.0,160.0,198,0
0,62,1,28.0,0,3,1,53399.0,124.0,103,0
0,42,1,35.0,1,2,0,2630.0,26.0,266,0
0,21,1,46.0,1,1,0,35397.0,160.0,249,0
1,47,1,28.0,0,2,1,49507.0,other,179,0
1,25,1,14.0,1,1,0,29290.0,152.0,112,0
0,26,1,29.0,1,1,0,31678.0,152.0,272,0
0,35,1,28.0,0,2,1,32121.0,26.0,12,0
1,23,1,6.0,1,1,0,34739.0,152.0,31,0
1,29,1,other,0,1,0,28365.0,152.0,88,0
1,22,1,8.0,0,1,1,22824.0,152.0,22,0
0,29,1,15.0,1,1,0,2630.0,160.0,45,0
0,25,1,11.0,1,1,0,28333.0,other,195,0
0,40,1,other,1,2,0,33895.0,124.0,223,0
0,61,1,28.0,0,2,0,32399.0,124.0,165,0
1,31,1,3.0,0,1,1,27291.0,152.0,234,0
0,67,1,28.0,1,2,0,56867.0,26.0,182,0
0,66,1,28.0,0,3,1,24909.0,124.0,119,0
1,77,1,28.0,1,2,1,34072.0,124.0,113,0
1,38,1,28.0,1,2,0,34368.0,other,182,0
1,25,1,36.0,0,1,0,31654.0,152.0,64,0
1,23,1,other,0,1,0,26839.0,152.0,21,0
0,48,1,8.0,0,3,1,2630.0,124.0,55,0
0,23,1,other,1,1,0,32059.0,152.0,105,0
1,74,1,28.0,0,2,1,42518.0,124.0,283,0
1,34,1,46.0,1,1,0,2630.0,other,40,0
0,23,1,41.0,1,1,0,26759.0,152.0,256,0
1,25,1,other,0,1,1,2630.0,152.0,136,0
1,22,1,50.0,1,1,0,2630.0,152.0,104,0
0,24,1,other,1,1,0,28152.0,152.0,52,0
0,74,1,11.0,1,2,0,27098.0,26.0,160,0
1,25,1,30.0,1,1,0,24117.0,152.0,21,0
0,32,1,21.0,1,1,0,28858.0,160.0,158,0
1,24,1,29.0,1,1,0,26330.0,152.0,161,0
0,22,1,28.0,1,2,0,27593.0,124.0,96,0
1,52,1,28.0,0,3,1,70537.0,26.0,254,0
1,26,1,28.0,1,1,0,59801.0,152.0,171,0
0,55,1,28.0,0,2,1,41635.0,124.0,172,0
0,60,1,3.0,1,2,0,23582.0,other,63,0
0,66,1,28.0,1,2,0,45158.0,124.0,93,0
0,49,1,28.0,0,2,1,2630.0,156.0,78,0
1,21,1,28.0,0,1,1,69815.0,152.0,267,0
1,36,1,other,1,2,0,28688.0,other,267,0
0,41,1,29.0,0,2,1,2630.0,26.0,88,0
0,23,1,30.0,1,1,0,27377.0,152.0,216,0
1,22,1,8.0,1,1,0,38646.0,152.0,172,0
0,31,1,15.0,1,1,0,2630.0,152.0,291,0
0,27,1,30.0,1,1,0,58228.0,152.0,100,0
1,26,1,28.0,1,1,0,49344.0,152.0,92,0
1,25,1,29.0,1,1,0,30528.0,152.0,241,0
0,28,1,30.0,1,1,0,2630.0,152.0,165,0
1,21,1,46.0,1,1,0,26138.0,152.0,84,0
0,29,1,other,0,1,1,21355.0,154.0,199,0
0,56,1,28.0,0,2,1,45447.0,other,89,0
